"n","methods","avg_regret","std","method_type","lb","ub"
400,"SPO_correct_IPW_Nuisance_mis_DM",3.08948995725776,0.379515877075833,"SPO Correct Nuisance Wrong CDM",2.98429352316044,3.19468639135509
400,"SPO_wrong_IPW_Nuisance_mis_DM",3.07724845612085,0.367421694486274,"SPO Wrong Nuisance Wrong CDM",2.97540435840414,3.17909255383755
600,"SPO_correct_IPW_Nuisance_mis_DM",3.11404603503352,0.399330732834987,"SPO Correct Nuisance Wrong CDM",3.00335720313699,3.22473486693006
600,"SPO_wrong_IPW_Nuisance_mis_DM",3.12307178925176,0.402518815542458,"SPO Wrong Nuisance Wrong CDM",3.01149926591387,3.23464431258966
800,"SPO_correct_IPW_Nuisance_mis_DM",2.96876027201762,0.46560733986411,"SPO Correct Nuisance Wrong CDM",2.83970050192147,3.09782004211377
800,"SPO_wrong_IPW_Nuisance_mis_DM",2.97958590116588,0.439842002104701,"SPO Wrong Nuisance Wrong CDM",2.85766791832903,3.10150388400273
1000,"SPO_correct_IPW_Nuisance_mis_DM",2.94573511151204,0.417010764662422,"SPO Correct Nuisance Wrong CDM",2.83014562481997,3.06132459820411
1000,"SPO_wrong_IPW_Nuisance_mis_DM",2.94969219400189,0.397810956103151,"SPO Wrong Nuisance Wrong CDM",2.83942462272308,3.0599597652807
1200,"SPO_correct_IPW_Nuisance_mis_DM",2.90720212992805,0.403157247733837,"SPO Correct Nuisance Wrong CDM",2.79545264221526,3.01895161764083
1200,"SPO_wrong_IPW_Nuisance_mis_DM",2.91133112459542,0.386605729004525,"SPO Wrong Nuisance Wrong CDM",2.80416948380655,3.01849276538429
1400,"SPO_correct_IPW_Nuisance_mis_DM",2.88083613108832,0.443475825833272,"SPO Correct Nuisance Wrong CDM",2.75791090370263,3.00376135847401
1400,"SPO_wrong_IPW_Nuisance_mis_DM",2.90138783074228,0.426740947829795,"SPO Wrong Nuisance Wrong CDM",2.78310127487828,3.01967438660629
1600,"SPO_correct_IPW_Nuisance_mis_DM",2.81169465628005,0.407676449113977,"SPO Correct Nuisance Wrong CDM",2.69869250985422,2.92469680270588
1600,"SPO_wrong_IPW_Nuisance_mis_DM",2.80919963442945,0.390280355655057,"SPO Wrong Nuisance Wrong CDM",2.7010194390988,2.91737982976011
400,"SPO_correct_Sample_IPW_Correct_DM",3.05486469264623,0.347527990215796,"SPO Correct Nuisance Correct CDM",2.95853484842101,3.15119453687145
400,"SPO_wrong_Sample_IPW_Correct_DM",3.09948616297531,0.329050972001569,"SPO Wrong Nuisance Correct CDM",3.00827788690125,3.19069443904938
600,"SPO_correct_Sample_IPW_Correct_DM",3.13731749464121,0.320243665849719,"SPO Correct Nuisance Correct CDM",3.0485504792815,3.22608451000093
600,"SPO_wrong_Sample_IPW_Correct_DM",3.12166746491681,0.330327334964986,"SPO Wrong Nuisance Correct CDM",3.03010539907932,3.2132295307543
800,"SPO_correct_Sample_IPW_Correct_DM",3.02883925092935,0.385841469738046,"SPO Correct Nuisance Correct CDM",2.92188945200117,3.13578904985754
800,"SPO_wrong_Sample_IPW_Correct_DM",3.05678339614674,0.324542097759567,"SPO Wrong Nuisance Correct CDM",2.96682491624907,3.14674187604441
1000,"SPO_correct_Sample_IPW_Correct_DM",2.60841558078753,0.459251015895664,"SPO Correct Nuisance Correct CDM",2.48111769380573,2.73571346776933
1000,"SPO_wrong_Sample_IPW_Correct_DM",2.67890239887055,0.424456003136895,"SPO Wrong Nuisance Correct CDM",2.56124919736224,2.79655560037886
1200,"SPO_correct_Sample_IPW_Correct_DM",1.99072185458336,0.512861930497375,"SPO Correct Nuisance Correct CDM",1.84856378022745,2.13287992893927
1200,"SPO_wrong_Sample_IPW_Correct_DM",2.15501263578019,0.544928328743896,"SPO Wrong Nuisance Correct CDM",2.00396620930613,2.30605906225425
1400,"SPO_correct_Sample_IPW_Correct_DM",1.34543670126756,0.30517536753848,"SPO Correct Nuisance Correct CDM",1.26084640510724,1.43002699742788
1400,"SPO_wrong_Sample_IPW_Correct_DM",1.55705014447452,0.360523676767306,"SPO Wrong Nuisance Correct CDM",1.4571180797193,1.65698220922975
1600,"SPO_correct_Sample_IPW_Correct_DM",1.03196135555244,0.339796161861024,"SPO Correct Nuisance Correct CDM",0.937774664805386,1.12614804629949
1600,"SPO_wrong_Sample_IPW_Correct_DM",1.30335711322065,0.304398015161438,"SPO Wrong Nuisance Correct CDM",1.2189822881461,1.3877319382952
