"n","methods","avg_regret","std","lb","ub"
400,"SPO_Correct_Tree_IPW",3.23948152035567,0.197039250482053,3.18486502660676,3.29409801410457
400,"SPO_Wrong_Tree_IPW",3.24101404540034,0.175649834259887,3.19232639534391,3.28970169545677
600,"SPO_Correct_Tree_IPW",3.26518213870624,0.132747160252083,3.22838650316482,3.30197777424766
600,"SPO_Wrong_Tree_IPW",3.26497149475653,0.16204910479386,3.22005377456963,3.30988921494343
800,"SPO_Correct_Tree_IPW",3.26564384670412,0.146856101030933,3.22493741230427,3.30635028110398
800,"SPO_Wrong_Tree_IPW",3.24884262541111,0.183857282861033,3.19787998667033,3.29980526415188
1000,"SPO_Correct_Tree_IPW",3.26929453991063,0.0569200602986496,3.25351710414653,3.28507197567474
1000,"SPO_Wrong_Tree_IPW",3.28228418249379,0.0539286694544781,3.26733591796811,3.29723244701947
1200,"SPO_Correct_Tree_IPW",3.29085474652457,0.108272639255781,3.26084310209016,3.32086639095898
1200,"SPO_Wrong_Tree_IPW",3.28508605456395,0.0792642513783707,3.26311512501906,3.30705698410883
1400,"SPO_Correct_Tree_IPW",3.2863277003865,0.0782047916362164,3.2646504380995,3.3080049626735
1400,"SPO_Wrong_Tree_IPW",3.29811559972877,0.0810572528993134,3.2756476755185,3.32058352393904
1600,"SPO_Correct_Tree_IPW",3.27811690782494,0.0897151636780784,3.25324913318502,3.30298468246485
1600,"SPO_Wrong_Tree_IPW",3.29903412102195,0.0864262531266845,3.27507798587585,3.32299025616805
